Survived,Sex,Pclass_1,Pclass_2,Pclass_3,AgeMissed,age_norn,has_sibsp,sibsp_norm,has_parch,parch_norm,fare_norm,fare_high,fare_low,fare_mid,hascabin,Embarked_C,Embarked_Q,Embarked_S
0,1,False,False,True,0,0.2711736617240513,1,0.125,0,0.0,0.014151057562208049,False,True,False,0,False,False,True
1,0,True,False,False,0,0.4722292033174164,1,0.125,0,0.0,0.13913573538264068,True,False,False,1,True,False,False
1,0,False,False,True,0,0.32143754712239253,0,0.0,0,0.0,0.015468569817999833,False,False,True,0,False,False,True
1,0,True,False,False,0,0.43453128926866047,1,0.125,0,0.0,0.10364429745562033,True,False,False,1,False,False,True
0,1,False,False,True,0,0.43453128926866047,0,0.0,0,0.0,0.015712553569072387,False,False,True,0,False,False,True
0,1,False,False,True,1,0.36792055349407915,0,0.0,0,0.0,0.01650950209357577,False,False,True,0,False,True,False
0,1,True,False,False,0,0.6732847449107816,0,0.0,0,0.0,0.10122885832000206,True,False,False,1,False,False,True
0,1,False,False,True,0,0.01985423473234481,1,0.375,1,0.16666666666666666,0.04113566043083236,False,False,True,0,False,False,True
1,0,False,False,True,0,0.33400351847197784,0,0.0,1,0.3333333333333333,0.021730754366528396,False,False,True,0,False,False,True
1,0,False,True,False,0,0.17064589092736868,1,0.125,0,0.0,0.058694292654020104,False,False,True,0,True,False,False
1,0,False,False,True,0,0.04498617743151546,1,0.125,1,0.16666666666666666,0.03259622914329302,False,False,True,1,False,False,True
1,0,True,False,False,0,0.7235486303091229,0,0.0,0,0.0,0.051822148727810165,False,False,True,1,False,False,True
0,1,False,False,True,0,0.24604171902488062,0,0.0,0,0.0,0.015712553569072387,False,False,True,0,False,False,True
0,1,False,False,True,0,0.4847951746670017,1,0.125,1,0.8333333333333334,0.06104473451835265,False,False,True,0,False,False,True
0,0,False,False,True,0,0.17064589092736868,0,0.0,0,0.0,0.015330377421392339,False,True,False,0,False,False,True
1,0,False,True,False,0,0.6858507162603669,0,0.0,0,0.0,0.03122992013728673,False,False,True,0,False,False,True
0,1,False,False,True,0,0.01985423473234481,1,0.5,1,0.16666666666666666,0.056848213999904744,False,False,True,0,False,True,False
1,1,False,True,False,1,0.36792055349407915,0,0.0,0,0.0,0.025374310111545468,False,False,True,0,False,False,True
0,0,False,False,True,0,0.38426740387031916,1,0.125,0,0.0,0.03513366015444757,False,False,True,0,False,False,True
1,0,False,False,True,1,0.36792055349407915,0,0.0,0,0.0,0.014102260811993537,False,True,False,0,True,False,False
0,1,False,True,False,0,0.43453128926866047,0,0.0,0,0.0,0.050748620223090936,False,False,True,0,False,False,True
1,1,False,True,False,0,0.42196531791907516,0,0.0,0,0.0,0.025374310111545468,False,False,True,1,False,False,True
1,0,False,False,True,0,0.18321186227695402,0,0.0,0,0.0,0.015671954672893913,False,False,True,0,False,True,False
1,1,True,False,False,0,0.3465694898215632,0,0.0,0,0.0,0.06929138530460492,False,False,True,1,False,False,True
0,0,False,False,True,0,0.09525006282985675,1,0.375,1,0.16666666666666666,0.04113566043083236,False,False,True,0,False,False,True
1,0,False,False,True,0,0.4722292033174164,1,0.125,1,0.8333333333333334,0.061264319894317944,False,False,True,0,False,False,True
0,1,False,False,True,1,0.36792055349407915,0,0.0,0,0.0,0.014102260811993537,False,True,False,0,True,False,False
0,1,True,False,False,0,0.23347574767529528,1,0.375,1,0.3333333333333333,0.5133418122566505,True,False,False,1,False,False,True
1,0,False,False,True,1,0.36792055349407915,0,0.0,0,0.0,0.01537917417160685,False,False,True,0,False,True,False
